"Congress" "states_served" "is_slaveholder" "count"
"667" 21 "VT" "unknown" 1
"668" 22 "AL" "true" 4
"669" 22 "AR" "true" 1
"670" 22 "CT" "false" 7
"671" 22 "CT" "true" 1
"672" 22 "DE" "false" 1
"673" 22 "DE" "true" 2
"674" 22 "FL" "true" 1
"675" 22 "GA" "true" 9
"676" 22 "GA" "unknown" 1
"677" 22 "IL" "false" 2
"678" 22 "IL" "true" 1
"679" 22 "IN" "false" 4
"680" 22 "IN" "unknown" 2
"681" 22 "KY" "true" 14
"682" 22 "LA" "true" 5
"683" 22 "MA" "false" 11
"684" 22 "MA" "unknown" 3
"685" 22 "MA,ME" "false" 1
"686" 22 "MD" "true" 10
"687" 22 "MD" "unknown" 2
"688" 22 "ME" "false" 6
"689" 22 "ME" "true" 1
"690" 22 "ME" "unknown" 1
"691" 22 "MI" "false" 1
"692" 22 "MO" "true" 2
"693" 22 "MO" "unknown" 1
"694" 22 "MS" "true" 3
"695" 22 "MS" "unknown" 1
"696" 22 "NC" "true" 13
"697" 22 "NC" "unknown" 2
"698" 22 "NC,AL" "true" 1
"699" 22 "NC,MS" "true" 1
"700" 22 "NH" "false" 7
"701" 22 "NH" "unknown" 1
"702" 22 "NH,MA" "false" 1
"703" 22 "NJ" "false" 1
"704" 22 "NJ" "true" 1
"705" 22 "NJ" "unknown" 6
"706" 22 "NY" "false" 23
"707" 22 "NY" "true" 6
"708" 22 "NY" "unknown" 8
"709" 22 "NY,LA" "true" 1
"710" 22 "OH" "false" 11
"711" 22 "OH" "unknown" 5
"712" 22 "PA" "false" 24
"713" 22 "PA" "true" 1
"714" 22 "PA" "unknown" 5
"715" 22 "RI" "false" 4
"716" 22 "SC" "true" 11
"717" 22 "SC" "unknown" 1
"718" 22 "TN" "true" 9
"719" 22 "TN" "unknown" 2
"720" 22 "VA" "false" 1
"721" 22 "VA" "true" 23
"722" 22 "VA" "unknown" 3
"723" 22 "VT" "false" 7
"724" 22 "VT" "unknown" 2
"725" 23 "AL" "true" 6
"726" 23 "AR" "true" 1
"727" 23 "CT" "false" 9
"728" 23 "CT" "true" 1
"729" 23 "CT" "unknown" 1
